City,Colors Reported,Shape Reported,State,Time,sighting,Year
South Kingstown,,CYLINDER,RI,2010-01-21 18:40:00,1,2010
San Antonio,,SPHERE,TX,2010-01-21 22:19:00,1,2010
Bloomfield,,OTHER,NJ,2010-01-21 22:45:00,1,2010
Riverside,,LIGHT,NJ,2010-01-22 02:20:00,1,2010
Boise,,VARIOUS,ID,2010-01-22 04:40:00,1,2010
Lincoln,,DISK,NE,2010-01-22 17:00:00,1,2010
Socorro,RED,LIGHT,NM,2010-01-22 18:00:00,1,2010
Southbridge,,TRIANGLE,MA,2010-01-22 22:30:00,1,2010
Spring,,SPHERE,TX,2010-01-22 23:00:00,1,2010
Peekskill,,,NY,2010-01-22 23:20:00,1,2010
Titusville,,TRIANGLE,FL,2010-01-23 00:00:00,1,2010
Reno,,CIGAR,NV,2010-01-23 01:30:00,1,2010
Carson City,BLUE,LIGHT,NV,2010-01-23 05:38:00,1,2010
Lakewood,,DISK,CA,2010-01-23 14:30:00,1,2010
Pacific Grove,,LIGHT,CA,2010-01-23 15:20:00,1,2010
Lake Tapps,,CIRCLE,WA,2010-01-23 18:00:00,1,2010
Tampa,,CIRCLE,FL,2010-01-24 19:40:00,1,2010
Lake Stevens,,,WA,2010-01-25 05:00:00,1,2010
Miami,,OTHER,FL,2010-01-25 17:30:00,1,2010
Keaau,,LIGHT,HI,2010-01-25 18:00:00,1,2010
Kapolei,,LIGHT,HI,2010-01-25 18:45:00,1,2010
Naples,,LIGHT,FL,2010-01-25 19:00:00,1,2010
Holloman AFB,,OTHER,NM,2010-01-25 19:15:00,1,2010
Clayton,,LIGHT,NC,2010-01-25 20:30:00,1,2010
Raleigh,GREEN,SPHERE,NC,2010-01-25 20:48:00,1,2010
Austin,,OTHER,TX,2010-01-26 09:45:00,1,2010
South Kingstown,,OTHER,RI,2010-01-26 11:00:00,1,2010
Miami,,LIGHT,FL,2010-01-26 19:01:00,1,2010
Chico,,TRIANGLE,WA,2010-01-26 21:40:00,1,2010
Greensboro,,SPHERE,NC,2010-01-27 02:15:00,1,2010
Fort Collins,,LIGHT,CO,2010-01-27 06:00:00,1,2010
Santa Fe Springs,,SPHERE,CA,2010-01-27 11:00:00,1,2010
Wilkesboro,,DISK,NC,2010-01-27 19:00:00,1,2010
Charlotte,,FIREBALL,NC,2010-01-27 20:30:00,1,2010
South Bend,,TRIANGLE,IN,2010-01-28 03:00:00,1,2010
Reedsville,,LIGHT,OH,2010-01-28 04:45:00,1,2010
Santa Ana,ORANGE,SPHERE,CA,2010-01-28 08:27:00,1,2010
Houston,,CIRCLE,TX,2010-01-28 14:00:00,1,2010
Perris,,TRIANGLE,CA,2010-01-28 18:10:00,1,2010
St. Augustine,,OTHER,FL,2010-01-28 19:25:00,1,2010
Folsom,,SPHERE,NJ,2010-01-28 20:00:00,1,2010
Stillwater,,LIGHT,MN,2010-01-28 20:30:00,1,2010
Maple Valley,,VARIOUS,WA,2010-01-29 00:00:00,1,2010
Punxsutawney,,LIGHT,PA,2010-01-29 02:20:00,1,2010
Madison County,RED,DIAMOND,NC,2010-01-29 11:00:00,1,2010
Jefferson,,OVAL,MD,2010-01-29 13:25:00,1,2010
Edinburg,,CIGAR,TX,2010-01-29 19:40:00,1,2010
Kennebunk Beach,,CYLINDER,ME,2010-01-30 08:40:00,1,2010
Oakland,RED,TRIANGLE,CA,2010-01-30 19:00:00,1,2010
Milwaukee,,LIGHT,WI,2010-01-31 06:30:00,1,2010
Stone Mountain,,TRIANGLE,GA,2010-01-31 13:00:00,1,2010
Delray Beach,,EGG,FL,2010-01-31 19:40:00,1,2010
Socorro,ORANGE,RECTANGLE,NM,2010-02-01 04:45:00,1,2010
Clovis,,SPHERE,CA,2010-02-01 06:00:00,1,2010
Ansonia,,OVAL,CT,2010-02-01 07:50:00,1,2010
Preston,,FLASH,CT,2010-02-01 08:00:00,1,2010
Marana,,LIGHT,AZ,2010-02-01 08:30:00,1,2010
Mare Island,,CIRCLE,CA,2010-02-01 19:15:00,1,2010
Wendell,,LIGHT,ID,2010-02-01 21:00:00,1,2010
Wyandotte County,,DISK,KS,2010-02-02 01:00:00,1,2010
Oakland Park,,FORMATION,FL,2010-02-02 01:15:00,1,2010
Pounchatola,,TRIANGLE,LA,2010-02-02 05:25:00,1,2010
Beckwourth,ORANGE,,CA,2010-02-02 19:00:00,1,2010
Wendell,,LIGHT,ID,2010-02-02 20:00:00,1,2010
Youngsville,,FIREBALL,LA,2010-02-02 20:05:00,1,2010
Leawood,,CIRCLE,KS,2010-02-02 21:00:00,1,2010
Oregon,,CIRCLE,OH,2010-02-03 11:30:00,1,2010
Ocala,,CIRCLE,FL,2010-02-03 15:00:00,1,2010
Atlanta,,CIRCLE,GA,2010-02-03 19:00:00,1,2010
Porter Ranch,,LIGHT,CA,2010-02-03 19:25:00,1,2010
Monmouth,,FIREBALL,OR,2010-02-04 01:35:00,1,2010
Los Angeles,,LIGHT,CA,2010-02-04 05:40:00,1,2010
Spencerport,,DISK,NY,2010-02-04 06:15:00,1,2010
Grove City,,SPHERE,OH,2010-02-04 09:00:00,1,2010
"Nicolosi, Sicily",,,TN,2010-02-04 15:00:00,1,2010
Chicago,,DISK,IL,2010-02-04 18:10:00,1,2010
Boulder,,LIGHT,CO,2010-02-05 01:00:00,1,2010
Langley,,TRIANGLE,WA,2010-02-05 18:00:00,1,2010
Benton City,ORANGE,SPHERE,WA,2010-02-05 19:15:00,1,2010
Tatum,,OTHER,TX,2010-02-05 19:50:00,1,2010
Pittsburgh,RED,,PA,2010-02-05 23:00:00,1,2010
Ellsworth,,,ME,2010-02-06 05:45:00,1,2010
Vernon,,TRIANGLE,NJ,2010-02-06 06:30:00,1,2010
Cistern,,SPHERE,TX,2010-02-06 14:45:00,1,2010
Albuquerque,RED YELLOW,OVAL,NM,2010-02-06 17:50:00,1,2010
Elkins,,LIGHT,WV,2010-02-06 21:40:00,1,2010
Monterey,GREEN BLUE,LIGHT,CA,2010-02-06 23:00:00,1,2010
Woodbridge,YELLOW,LIGHT,VA,2010-02-06 23:00:00,1,2010
Cicero,RED,TRIANGLE,IL,2010-02-07 21:15:00,1,2010
Modesto,,SPHERE,CA,2010-02-07 22:00:00,1,2010
Philadelphia,RED GREEN BLUE,OTHER,PA,2010-02-07 22:50:00,1,2010
Hyde Park,,CIRCLE,NY,2010-02-08 00:00:00,1,2010
Riverhead,,CIRCLE,NY,2010-02-08 05:40:00,1,2010
Hobe Sound,,CIRCLE,FL,2010-02-08 09:50:00,1,2010
Saylorsburg,RED,DISK,PA,2010-02-08 18:30:00,1,2010
Santa Maria,,OVAL,CA,2010-02-08 19:15:00,1,2010
Gilbert,,,AZ,2010-02-08 20:22:00,1,2010
Kettleman City,,TRIANGLE,CA,2010-02-09 18:00:00,1,2010
Bedford,RED,LIGHT,TX,2010-02-09 21:00:00,1,2010
Modesto,,VARIOUS,CA,2010-02-09 21:00:00,1,2010
Eaton Rapids,,OTHER,MI,2010-02-10 03:00:00,1,2010
Carthage,YELLOW,LIGHT,TN,2010-02-10 20:40:00,1,2010
Weymouth,,TRIANGLE,MA,2010-02-11 20:35:00,1,2010
Seattle,,TRIANGLE,WA,2010-02-12 06:00:00,1,2010
San Antonio,,LIGHT,TX,2010-02-12 16:00:00,1,2010
Sharon,,LIGHT,VT,2010-02-12 19:30:00,1,2010
West Branch,,CIGAR,MI,2010-02-12 20:30:00,1,2010
Yakima,,FIREBALL,WA,2010-02-12 20:30:00,1,2010
Seattle,GREEN,LIGHT,WA,2010-02-12 20:35:00,1,2010
Santa Nella,GREEN,FORMATION,CA,2010-02-12 20:54:00,1,2010
Goose Creek,,FLASH,SC,2010-02-12 21:00:00,1,2010
Sullivan City,,FORMATION,TX,2010-02-12 21:00:00,1,2010
Topeka,,,KS,2010-02-12 23:00:00,1,2010
Ft. Bragg,,CROSS,CA,2010-02-12 23:30:00,1,2010
San Bernardino,ORANGE,FIREBALL,CA,2010-02-13 00:15:00,1,2010
Davenport,,LIGHT,IA,2010-02-13 03:05:00,1,2010
Los Angeles,,CIRCLE,CA,2010-02-13 09:40:00,1,2010
Pasadena,,TRIANGLE,CA,2010-02-13 17:00:00,1,2010
Nacogdoches,,FORMATION,TX,2010-02-13 17:45:00,1,2010
Sunnyvale,,FORMATION,CA,2010-02-13 19:00:00,1,2010
Melbourne,ORANGE YELLOW,SPHERE,FL,2010-02-13 19:15:00,1,2010
Abilene,,VARIOUS,TX,2010-02-14 00:00:00,1,2010
Atco,,LIGHT,NJ,2010-02-14 00:15:00,1,2010
Conover,,CIRCLE,NC,2010-02-14 10:40:00,1,2010
Miami,RED,,FL,2010-02-14 21:45:00,1,2010
Brandon,,FIREBALL,FL,2010-02-14 22:15:00,1,2010
Redding,,CIRCLE,CA,2010-02-14 22:20:00,1,2010
Gautier,RED YELLOW,FORMATION,MS,2010-02-14 23:00:00,1,2010
Nashville,,,TN,2010-02-15 05:00:00,1,2010
Renton,,,WA,2010-02-15 05:30:00,1,2010
Clearwater,,CIRCLE,KS,2010-02-15 05:50:00,1,2010
Las Vegas,,CIRCLE,NV,2010-02-15 05:55:00,1,2010
Long Beach,,SPHERE,CA,2010-02-15 16:00:00,1,2010
Sutherlin,,LIGHT,OR,2010-02-15 23:00:00,1,2010
Kailua-Kona,,LIGHT,HI,2010-02-16 07:10:00,1,2010
Fontana,,LIGHT,CA,2010-02-16 19:51:00,1,2010
Denver,RED YELLOW GREEN BLUE,,CO,2010-02-16 20:00:00,1,2010
Austin,RED ORANGE,SPHERE,TX,2010-02-16 21:40:00,1,2010
Mesquite,RED,RECTANGLE,TX,2010-02-16 22:15:00,1,2010
Fort Hood,,CIRCLE,TX,2010-02-16 22:30:00,1,2010
Winnie,,TRIANGLE,TX,2010-02-16 23:45:00,1,2010
Winnie,,VARIOUS,TX,2010-02-16 23:45:00,1,2010
Concord,,CHEVRON,NH,2010-02-17 06:35:00,1,2010
Covington,,TRIANGLE,LA,2010-02-17 18:30:00,1,2010
Mahanoy,,OTHER,PA,2010-02-17 23:00:00,1,2010
Blanchard,,LIGHT,MI,2010-02-18 01:00:00,1,2010
Ellerslie,,LIGHT,GA,2010-02-18 09:00:00,1,2010
Raeford,,OTHER,NC,2010-02-18 18:00:00,1,2010
Mojave,,SPHERE,CA,2010-02-18 19:30:00,1,2010
San Diego,,LIGHT,CA,2010-02-18 21:30:00,1,2010
Westwood,,CYLINDER,MA,2010-02-18 21:30:00,1,2010
Shelbyville,RED,,IL,2010-02-18 21:52:00,1,2010
Bellingham,,TRIANGLE,WA,2010-02-18 22:25:00,1,2010
Clinton Township,ORANGE,CHEVRON,MI,2010-02-19 00:38:00,1,2010
Omaha,,,NE,2010-02-19 01:20:00,1,2010
Silverton,ORANGE,LIGHT,OR,2010-02-19 09:00:00,1,2010
Woodland Hills,,OVAL,CA,2010-02-19 14:30:00,1,2010
Seattle,,TRIANGLE,WA,2010-02-19 18:50:00,1,2010
Frankfort,,TRIANGLE,IL,2010-02-19 19:55:00,1,2010
Vernon Hills,,LIGHT,IL,2010-02-19 21:10:00,1,2010
Dalton,,FIREBALL,GA,2010-02-20 07:00:00,1,2010
Randsburg,,TEARDROP,CA,2010-02-20 12:00:00,1,2010
Clearwater,,TRIANGLE,FL,2010-02-20 13:47:00,1,2010
Venetia,,SPHERE,PA,2010-02-20 18:15:00,1,2010
Sedro Woolley,,CIRCLE,WA,2010-02-20 19:00:00,1,2010
Pickney,ORANGE,FIREBALL,MI,2010-02-20 20:00:00,1,2010
Marshall,,LIGHT,MN,2010-02-20 22:00:00,1,2010
Severn,,DISK,MD,2010-02-21 00:00:00,1,2010
Plum,YELLOW,LIGHT,PA,2010-02-21 03:30:00,1,2010
Darlington,,CIRCLE,SC,2010-02-21 20:30:00,1,2010
Stanardsville,,TRIANGLE,VA,2010-02-21 20:40:00,1,2010
Belton,,LIGHT,TX,2010-02-21 22:33:00,1,2010
New Hampshire??,,,NH,2010-02-21 23:00:00,1,2010
New York City,,DISK,NY,2010-02-22 17:30:00,1,2010
Rochester,,LIGHT,NY,2010-02-22 22:30:00,1,2010
Swarthmore,,FLASH,PA,2010-02-22 22:40:00,1,2010
Ewa Beach,,TRIANGLE,HI,2010-02-23 20:50:00,1,2010
Lake Oswego,,,OR,2010-02-23 21:00:00,1,2010
Galveston,BLUE,FIREBALL,TX,2010-02-23 23:00:00,1,2010
Arden,,FORMATION,AR,2010-02-24 04:30:00,1,2010
Springvale,,SPHERE,ME,2010-02-24 09:30:00,1,2010
Interstate 8,,LIGHT,AZ,2010-02-24 13:30:00,1,2010
Santa Rosa,,DIAMOND,CA,2010-02-24 15:30:00,1,2010
Santa Barbara,,TEARDROP,CA,2010-02-24 19:30:00,1,2010
Rising Star,,LIGHT,TX,2010-02-24 20:00:00,1,2010
Brockton,,LIGHT,MA,2010-02-25 00:00:00,1,2010
Twin Peaks,GREEN,CIRCLE,CA,2010-02-25 07:35:00,1,2010
Wisconsin Rapids,,,WI,2010-02-25 09:15:00,1,2010
Temple City,,LIGHT,CA,2010-02-25 20:24:00,1,2010
Homestead,,SPHERE,FL,2010-02-26 05:55:00,1,2010
Keaau,GREEN,SPHERE,HI,2010-02-26 06:00:00,1,2010
Sonoma,,EGG,CA,2010-02-26 14:00:00,1,2010
Las Vegas,,OVAL,NV,2010-02-26 17:15:00,1,2010
Lawrence,ORANGE,LIGHT,KS,2010-02-27 00:55:00,1,2010
Corpus Christi,,CIRCLE,TX,2010-02-27 08:00:00,1,2010
Tampa,,RECTANGLE,FL,2010-02-27 13:00:00,1,2010
Lawrenceville,,CIRCLE,GA,2010-02-27 20:00:00,1,2010
Litchfield Beach,,LIGHT,SC,2010-02-27 22:00:00,1,2010
Spicewood,,CIRCLE,TX,2010-02-27 23:10:00,1,2010
Batavia,,SPHERE,IA,2010-02-28 06:00:00,1,2010
Homestead,,TEARDROP,FL,2010-02-28 07:05:00,1,2010
Ward,,,AR,2010-02-28 15:00:00,1,2010
Homestead,,,FL,2010-02-28 16:30:00,1,2010
Church Point,,CYLINDER,LA,2010-02-28 17:46:00,1,2010
Homestead,,OTHER,FL,2010-02-28 18:40:00,1,2010
Miami,,CIRCLE,FL,2010-02-28 18:50:00,1,2010
Silverdale,,VARIOUS,WA,2010-02-28 18:50:00,1,2010
Spring City,,OVAL,TN,2010-02-28 18:50:00,1,2010
Everett,,,WA,2010-02-28 23:00:00,1,2010
Little River,GREEN BLUE,LIGHT,SC,2010-02-28 23:00:00,1,2010
Longview,,OTHER,TX,2010-03-01 03:00:00,1,2010
San Diego,,OTHER,CA,2010-03-01 06:00:00,1,2010
Hernando,,LIGHT,FL,2010-03-01 11:00:00,1,2010
Land O'Lakes,,FORMATION,FL,2010-03-01 11:00:00,1,2010
Oakville,,OTHER,MO,2010-03-01 15:30:00,1,2010
Cook,,LIGHT,MN,2010-03-01 17:00:00,1,2010
Visalia,,,CA,2010-03-01 19:50:00,1,2010
Davenport,,FIREBALL,CA,2010-03-01 21:23:00,1,2010
